title,date,venue,price,organizer,description,image_url,concert_link,location,event_type
Harry Potter In Concert - Premium Ticket and Hotel Experiences,7/13/2025 17:16,Edinburgh Castle Esplanade,See Website for more details,Harry Potter and the Chamber of Secrets™ in Concert,See Website for more details,https://s1.ticketm.net/dam/a/27c/275a6f0e-0152-4427-b79b-1db6d30c827c_TABLET_LANDSCAPE_16_9.jpg,https://www.eventtravel.com/harry-potter-concert-tickets-2025?agentCodeWeblink=AF294,"Edinburgh, Great Britain",Classical - Symphonic
Carly Paoli and Friends - Hollywood To Broadway,7/13/2025 18:00,Theatre Royal Drury Lane,See Website for more details,Carly Paoli,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://theatre.ticketmaster.co.uk/book/1H8JE-carly-paoli-and-friends-hollywood-to-broadway/#perf=1H8JE-2&date=2025-07-13&time=7.00PM,"London, Great Britain",Classical - Classical/Vocal
Coro de Madrigalistas Bellas Artes Primera Gala,7/13/2025 18:15,Palacio de Bellas Artes,See Website for more details,See Website for more details,"Coro de Madrigalistas de Bellas Artes, Primera Gala, Palacio de Bellas Artes.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/coro-de-madrigalistas-bellas-artes-primera-mexico-cdmx-13-07-2025/event/3D0062B1841E0CCC,"México CDMX, Mexico",Classical - Symphonic
Esa-Pekka Salonen conducts Sibelius,7/13/2025 18:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw0F,"Lenox, United States Of America",Classical - Classical/Vocal
Massapequa Philharmonic Orchestra - Out of this World,7/13/2025 19:00,Tilles Center Concert Hall,See Website for more details,See Website for more details,See Website for more details,https://s1.ticketm.net/dam/e/efa/da58a21e-a2f9-45f9-8d47-e2f53a935efa_CUSTOM.jpg,https://www.ticketmaster.com/massapequa-philharmonic-orchestra-out-of-this-brookville-new-york-07-13-2025/event/00006252D4154FF5,"Brookville, United States Of America",Classical - Classical/Vocal
Voz en Punto celebra al CEUVOZ,7/14/2025 0:00,Teatro de la Ciudad Esperanza Iris,See Website for more details,See Website for more details,"Voz en Punto, ensamble vocal de México, celebra al CEUVOZ en su 19 Aniversario con un concierto a capella, haciendo un viaje sonoro por diferentes épocas, lugares y estilos musicales utilizando los infinitos recursos del más maravilloso instrumento con que el ser humano ha contado desde siempre: la Voz.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/voz-en-punto-celebra-al-ceuvoz-mexico-13-07-2025/event/3D0062B49A991EED,"Mexico, Mexico",Classical - Classical/Vocal
The Yellow River Cantata,7/14/2025 9:30,Sydney Opera House - Concert Hall,See Website for more details,Oz-Sino Association for Advancement of Culture & Arts Inc,"Approximate Running Times: Doors - TBC Start - 7:30pm Finish - TBC The Yellow River Cantata Under the baton of renowned Chinese conductor Cao Ding, ""Voices for Peace"" brings together nearly 200 singers from local Chinese choirs, acclaimed soprano Ke Lvwa, and celebrated baritone Christian Haotian Qi. The concert's second half features The Yellow River Cantata - a powerful choral masterpiece by Xian Xinghai and Guang Weiran - honouring the strength, unity, and resilience of the Chinese people. The first half showcases world-famous classics, opera highlights, group and children's choir performances. Blending Chinese themes with Western musical techniques, this commemorative event marks 80 years since the end of World War II. Through passionate expression and rich harmonies, this concert stands as a heartfelt tribute to the past and a call to preserve peace for generations to come.",https://s1.ticketm.net/dam/a/c0a/0a142966-8009-4f11-a5f1-c46cd0a35c0a_CUSTOM.jpg,https://www.ticketmaster.com.au/the-yellow-river-cantata-sydney-14-07-2025/event/130062C6D5613F86,"Sydney, Australia",Classical - Classical/Vocal
Collide-O-Scope - Hosted by Shane Wahlund and Michael Anderson,7/15/2025 3:00,Here - After,21.5-21.5 USD,Collide-O-Scope,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketweb.com/event/collide-o-scope-here-after-tickets/14471083,"Seattle, United States Of America",Classical - Symphonic
Indiana Jones and the Raiders of the Lost Ark in Concert,7/17/2025 5:30,Neal S Blaisdell Concert Hall,See Website for more details,Hawaii Symphony Orchestra,"All sales are final. No refunds or exchanges will be made. Your ticket is a license to attend the performance on the date and time stated. Management reserves the right to revoke this license, upon refund of face value, for any reason. The Blaisdell Center will not be responsible for the refund of any internet convenience fees. Tickets found to be fraudulent or purchased from unauthorized sources will be void, and management is not responsible for refunds. Authorized sources are the Blaisdell Center Box Office and Ticketmaster.com. Other online ticketing entities, auction sites and independent brokers are not considered authorized outlets.",https://s1.ticketm.net/dam/a/81e/3f7537a1-7d5e-4dc6-9483-478f800f881e_1793961_CUSTOM.jpg,https://www.ticketmaster.com/indiana-jones-and-the-raiders-of-honolulu-hawaii-07-16-2025/event/0A0062C5F054521E,"Honolulu, United States Of America",Classical - Symphonic
Firebird: Stravinsky & Ravel,7/17/2025 6:30,Michael Fowler Centre,See Website for more details,New Zealand Symphony Orchestra,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket",https://s1.ticketm.net/dam/a/804/b8602ffd-e492-4003-89ef-39bcae961804_RECOMENDATION_16_9.jpg,https://www.ticketmaster.co.nz/firebird-stravinsky-ravel-wellington-17-07-2025/event/2400619383380966,"Wellington, New Zealand",Classical - Symphonic
Harry Potter and the Sorcerers Stone in Concert with Minnesota Orchestra,7/18/2025 0:00,Orchestra Hall-MN,See Website for more details,Minnesota Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fJOw,"Minneapolis, United States Of America",Classical - Classical/Vocal
Los Angeles Philharmonic w/ Helene Grimaud,7/18/2025 3:00,Hollywood Bowl,See Website for more details,Los Angeles Philharmonic,See Website for more details,https://s1.ticketm.net/dam/a/d0d/ff678bd6-b134-40d8-9010-2ad1223e3d0d_1100241_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7f0kb,"Los Angeles, United States Of America",Classical - Classical/Vocal
HERITAGE LIVE FESTIVALS: MINISTRY OF SOUND CLASSICAL + Special Guests,7/18/2025 13:00,Englefield House,See Website for more details,Ministry of Sound Classical,"Gates open 2pm, event ends 10:30pm Ministry of Sound Classical, the awe-inspiring orchestral celebration of dance music, will headline a huge outdoor show as part of Heritage Live Festival's 2025 summer events in the stunning grounds of Englefield House, in Pangbourne near Reading, Berkshire. Taking place on Friday 18th July 2025, the show will also feature special guests David Morales, Paul Oakenfold, Judge Jules, and Fish56Octagon. Featuring ultimate dance hits from the 90s including: The Chemical Brothers - Hey Boy Hey Girl, Dario G - Sunchyme, Faithless - Insomnia, Fatboy Slim - Right Here, Right Now plus many more, delivered like never before.",https://s1.ticketm.net/dam/a/602/8c949572-dad6-452e-8831-d5f9e812e602_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.co.uk/heritage-live-festivals-ministry-of-sound-reading-18-07-2025/event/1F00627599CF2D1A,"Reading, Great Britain",Classical - Classical/Vocal
Detroit Symphony Orchestra w/ Batman In Concert,7/18/2025 23:30,Max M. Fisher Music Center,See Website for more details,Detroit Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/8ec/7dcb3504-bcf9-448a-9f73-b26628e898ec_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7GYJp,"Detroit, United States Of America",Classical - Classical/Vocal
Jean Yves Thibaudet w/ National Symphony Orchestra,7/19/2025 0:00,Wolf Trap Filene Center,See Website for more details,Jean Yves Thibaudet,See Website for more details,https://s1.ticketm.net/dam/a/2e4/4ccb89da-d822-4afc-ad3f-80eaf43df2e4_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fY-e,"Vienna, United States Of America",Classical - Classical/Vocal
Tchaikovsky Spectacular with Fireworks,7/19/2025 3:00,Hollywood Bowl,See Website for more details,Los Angeles Philharmonic,See Website for more details,https://s1.ticketm.net/dam/a/d0d/ff678bd6-b134-40d8-9010-2ad1223e3d0d_1100241_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7f0GZ,"Los Angeles, United States Of America",Classical - Classical/Vocal
Open Rehearsal: Symphonie fantastique and Prokofiev Piano Concerto No. 2 with Yuja Wang,7/19/2025 14:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Tanglewood Music Center Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fSqk,"Lenox, United States Of America",Classical - Other
Andris Nelsons conducts Tosca,7/20/2025 0:00,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw0a,"Lenox, United States Of America",Classical - Classical/Vocal
Harry Potter and the Sorcerer's Stone,7/20/2025 0:00,Orchestra Hall-MN,See Website for more details,Minnesota Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74P3p,"Minneapolis, United States Of America",Classical - Classical/Vocal
Jurassic Park in Concert,7/20/2025 1:30,Boettcher Hall,See Website for more details,Jurassic Park In Concert,See Website for more details,https://s1.ticketm.net/dam/a/1cf/e3d8acbc-7e18-4a3f-9bce-6d42db9351cf_1753371_RETINA_LANDSCAPE_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74_jV,"Denver, United States Of America",Classical - Other
Lindsey Stirling w/ Seattle Symphony,7/20/2025 3:00,Benaroya Hall,See Website for more details,Lindsey Stirling,See Website for more details,https://s1.ticketm.net/dam/a/cc4/a41df293-8ce1-49f8-8b8f-83496149fcc4_RECOMENDATION_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74sPS,"Seattle, United States Of America",Classical - Classical/Vocal
How To Train Your Dragon In Concert,7/20/2025 5:30,Neal S Blaisdell Concert Hall,See Website for more details,Hawaii Symphony Orchestra,"All sales are final. No refunds or exchanges will be made. Your ticket is a license to attend the performance on the date and time stated. Management reserves the right to revoke this license, upon refund of face value, for any reason. The Blaisdell Center will not be responsible for the refund of any internet convenience fees. Tickets found to be fraudulent or purchased from unauthorized sources will be void, and management is not responsible for refunds. Authorized sources are the Blaisdell Center Box Office and Ticketmaster.com. Other online ticketing entities, auction sites and independent brokers are not considered authorized outlets.",https://s1.ticketm.net/dam/a/81e/3f7537a1-7d5e-4dc6-9483-478f800f881e_1793961_CUSTOM.jpg,https://www.ticketmaster.com/how-to-train-your-dragon-in-honolulu-hawaii-07-19-2025/event/0A0062C5F19552B1,"Honolulu, United States Of America",Classical - Symphonic
Tanglewood Family Concert: Family Matters,7/20/2025 14:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw08,"Lenox, United States Of America",Classical - Classical/Vocal
Symphonie fantastique and Prokofiev Piano Concerto No. 2 with Yuja Wang,7/20/2025 18:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Tanglewood Music Center Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fSqo,"Lenox, United States Of America",Classical - Other
Gershwin's Rhapsody in Blue,7/20/2025 19:00,Music Center at Strathmore,See Website for more details,Baltimore Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/2e2/ad2d8306-f105-4cbb-a293-c99c42c0e2e2_1693511_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7ppkZ,"North Bethesda, United States Of America",Classical - Other
Concertistas de Bellas Artes Segunda Gala,7/20/2025 23:00,Palacio de Bellas Artes,See Website for more details,See Website for more details,"Concertistas de Bellas Artes Segunda Gala, Palacio de Bellas Artes.",https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com.mx/concertistas-de-bellas-artes-segunda-gala-mexico-cdmx-20-07-2025/event/3D0062B0F8B34DCE,"México CDMX, Mexico",Classical - Symphonic
Los Angeles Philharmonic w/ Hayato Sumino,7/23/2025 3:00,Hollywood Bowl,See Website for more details,Los Angeles Philharmonic,See Website for more details,https://s1.ticketm.net/dam/a/d0d/ff678bd6-b134-40d8-9010-2ad1223e3d0d_1100241_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7f0As,"Los Angeles, United States Of America",Classical - Classical/Vocal
125 Years of The Philadelphia Orchestra,7/24/2025 0:00,TD Pavilion at the Mann,See Website for more details,The Philadelphia Orchestra,**THIS IS A RAIN OR SHINE EVENT**,https://s1.ticketm.net/dam/a/b32/ef3dbc12-1bc9-4fa4-b4df-9735e6d06b32_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/125-years-of-the-philadelphia-orchestra-philadelphia-pennsylvania-07-23-2025/event/02006261D6756698,"Philadelphia, United States Of America",Classical - Symphonic
Mana Moana,7/24/2025 7:30,Michael Fowler Centre,See Website for more details,New Zealand Symphony Orchestra,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: Children under 3 years will be admitted free providing they do not occupy a seat. children must sit on parent or caregiver's lap. Mana Moana, the energetic, unique, and emotional fusion of symphony and songs of the Pacific returns, bringing traditional and contemporary songs from Samoa, Tonga, Fiji, Cook Islands, Niue and Tokelau to Wellington's Michael Fowler Centre for this event. Mana Moana re-imagines Pasifika music by fusing the power of choral harmony, with a lush and grand orchestra, making it a truly magical experience,"" says Signature Choir Music Director Helen Tupai.",https://s1.ticketm.net/dam/a/804/b8602ffd-e492-4003-89ef-39bcae961804_RECOMENDATION_16_9.jpg,https://www.ticketmaster.co.nz/mana-moana-wellington-24-07-2025/event/240062C3EC3F2182,"Wellington, New Zealand",Classical - Symphonic
EAGLES - A CHAMPIONSHIP SEASON w/ The Philadelphia Orchestra,7/25/2025 0:00,TD Pavilion at the Mann,See Website for more details,The Philadelphia Orchestra,**THIS IS A RAIN OR SHINE EVENT**,https://s1.ticketm.net/dam/a/b32/ef3dbc12-1bc9-4fa4-b4df-9735e6d06b32_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/eagles-a-championship-season-w-the-philadelphia-pennsylvania-07-24-2025/event/0200626CCCEF4CC2,"Philadelphia, United States Of America",Classical - Symphonic
Tribute to Max Richter by Mystery Ensemble,7/25/2025 18:00,St Georges Church,See Website for more details,Tribute to Max Richter,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RECOMENDATION_16_9.jpg,https://www.universe.com/events/tribute-to-max-richter-by-mystery-ensemble-tickets-G5679X?ref=ticketmaster,"Leeds, Great Britain",Classical - Classical/Vocal
Antonio Vivaldi: Four Seasons by candlelight,7/25/2025 18:30,Kensington United Reformed Church,See Website for more details,Antonio Vivaldi: Four Seasons,See Website for more details,https://images.universe.com/c29c4f0f-e63a-4225-9aba-02e7ee398ba3/-/format/jpeg/-/scale_crop/1024x576/center/-/progressive/yes/-/inline/yes/,https://www.universe.com/events/antonio-vivaldi-four-seasons-by-candlelight-tickets-F9DBQG?ref=ticketmaster,"London, Great Britain",Classical - Symphonic
Auckland Philharmonia: Hairy Maclary's Greatest Hits,7/25/2025 23:00,Bruce Mason Centre,See Website for more details,Auckland Philharmonia,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: Children under the age of 16 must be accompanied by an adult at all Auckland Philharmonia events. Presenter Jackie Clarke A magical concert to captivate the whole whanau. Join Auckland Philharmonia for Hairy Maclary's Greatest Hits. The effervescent Jackie Clarke will bring the stories of Hairy Maclary and his adorable friends from Donaldson's Dairy to life with music and songs. Look out for Schnitzel von Krumm, Bottomley Potts, Zachary Quack, Slinky Malinki, Scarface Claw and more. Don't miss this spellbinding, interactive show celebrating New Zealand's beloved canine icon!",https://s1.ticketm.net/dam/a/8ae/34945ea3-f098-42fc-a832-bee65f2d18ae_SOURCE,https://www.ticketmaster.co.nz/auckland-philharmonia-hairy-maclarys-greatest-hits-takapuna-beach-26-07-2025/event/24006192899309A3,"Takapuna Beach, New Zealand",Classical - Symphonic
Detroit Symphony Orchestra - Batman 1989 In Concert,7/25/2025 23:30,Orchestra Hall - Detroit,See Website for more details,Detroit Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/8ec/7dcb3504-bcf9-448a-9f73-b26628e898ec_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7ovfa,"Detroit, United States Of America",Classical - Classical/Vocal
Mendelssohn Violin Concerto with Mar??a Duenas,7/26/2025 0:00,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw0o,"Lenox, United States Of America",Classical - Classical/Vocal
"Parker, Schumann and Tchaikovsky",7/26/2025 1:00,Orchestra Hall-MN,See Website for more details,Minnesota Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74P39,"Minneapolis, United States Of America",Classical - Classical/Vocal
A. R. Rahman,7/26/2025 2:30,Oakland Arena,See Website for more details,A.R. Rahman,See Website for more details,https://s1.ticketm.net/dam/a/e3b/1a0685b8-039e-421f-a0d7-49138010fe3b_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74oa9,"Oakland, United States Of America",Classical - Classical/Vocal
Kapena LIVE,7/26/2025 5:30,Tom Moffatt Waikiki Shell,See Website for more details,Hawaii Symphony Orchestra,"All sales are final. No refunds or exchanges will be made. Your ticket is a license to attend the performance on the date and time stated. Management reserves the right to revoke this license, upon refund of face value, for any reason. The Blaisdell Center will not be responsible for the refund of any internet convenience fees. Tickets found to be fraudulent or purchased from unauthorized sources will be void, and management is not responsible for refunds. Authorized sources are the Blaisdell Center Box Office and Ticketmaster.com. Other online ticketing entities, auction sites and independent brokers are not considered authorized outlets.",https://s1.ticketm.net/dam/a/81e/3f7537a1-7d5e-4dc6-9483-478f800f881e_1793961_CUSTOM.jpg,https://www.ticketmaster.com/kapena-live-honolulu-hawaii-07-25-2025/event/0A0062C5EAD74F91,"Honolulu, United States Of America",Classical - Symphonic
VoCo Concert 2025,7/26/2025 7:00," Great Hall, Auckland Town Hall",See Website for more details,VoCo,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: This event is ALL AGES, all patrons require a ticket for entry. Children aged 14 and under must be accompanied by a caregiver who attends the event with the child. Annual VoCo Concert 2025 12 Amazing Community Voices Groups getting together. VoCo now at the heart of Auckland. The Auckland Town Hall. Aotearoa Arirang Special Edition. Celebrating 10th year FTA between New Zealand and South Korea Featuring Tim Wayne-Wright, former King's Singer",https://s1.ticketm.net/dam/a/482/a32ace36-0bf6-419a-9dc9-b81709ae4482_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.co.nz/voco-concert-2025-auckland-26-07-2025/event/240062C4C6D81D1C,"Auckland, New Zealand",Classical - Classical/Vocal
Orchestra Wellington - 3 Party Faithful,7/26/2025 7:30,Michael Fowler Centre,See Website for more details,Orchestra Wellington,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Free preconcert talk at Renouf Foyer 6:30pm.",https://s1.ticketm.net/dam/a/983/d76c1667-f426-4727-8ca4-1948361eb983_CUSTOM.jpg,https://www.ticketmaster.co.nz/orchestra-wellington-3-party-faithful-wellington-26-07-2025/event/24006132A46F19AC,"Wellington, New Zealand",Classical - Symphonic
Open Rehearsal: Lang Lang performs Saint-Saens,7/26/2025 14:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw03,"Lenox, United States Of America",Classical - Classical/Vocal
Ibiza Proms in St Albans Cathedral,7/26/2025 18:30,The Cathedral & Abbey Church of Saint Alban,See Website for more details,Secret Symphony,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_RETINA_LANDSCAPE_16_9.jpg,https://www.universe.com/events/ibiza-proms-in-st-albans-cathedral-tickets-GV1FBJ?ref=ticketmaster,"St Albans, Great Britain",Classical - Symphonic
Rhythm in Motion,7/26/2025 19:00,Orchestra Hall-MN,See Website for more details,Minnesota Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74P3b,"Minneapolis, United States Of America",Classical - Classical/Vocal
Mahler Symphony No. 1 and John Williams Piano Concerto with Emanuel Ax,7/27/2025 0:00,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw0K,"Lenox, United States Of America",Classical - Classical/Vocal
Tchaikovsky Spectacular,7/27/2025 5:30,Tom Moffatt Waikiki Shell,See Website for more details,Hawaii Symphony Orchestra,"All sales are final. No refunds or exchanges will be made. Your ticket is a license to attend the performance on the date and time stated. Management reserves the right to revoke this license, upon refund of face value, for any reason. The Blaisdell Center will not be responsible for the refund of any internet convenience fees. Tickets found to be fraudulent or purchased from unauthorized sources will be void, and management is not responsible for refunds. Authorized sources are the Blaisdell Center Box Office and Ticketmaster.com. Other online ticketing entities, auction sites and independent brokers are not considered authorized outlets.",https://s1.ticketm.net/dam/a/81e/3f7537a1-7d5e-4dc6-9483-478f800f881e_1793961_CUSTOM.jpg,https://www.ticketmaster.com/tchaikovsky-spectacular-honolulu-hawaii-07-26-2025/event/0A0062C5EBF64FB8,"Honolulu, United States Of America",Classical - Symphonic
Scarborough Spa Orchestra Morning Concert,7/27/2025 10:00,Scarborough Spa Suncourt ,See Website for more details,Scarborough Spa Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/375/48f2259b-f25d-4705-a725-3ba8a6ad8375_SOURCE,https://www.ticketmaster.co.uk/scarborough-spa-orchestra-morning-concert-scarborough-27-07-2025/event/35006192C75F63AC,"Scarborough, Great Britain",Classical - Symphonic
Yakadan Rebetiko,7/27/2025 16:30,Metreküp Bodrum,See Website for more details,Rebetiko,See Website for more details,https://s1.ticketm.net/dam/c/518/83a05c63-479c-4f7e-a7aa-1932aab77518_105461_ARTIST_PAGE_3_2.jpg,https://www.biletix.com/performance/4KRA3/001/TURKIYE/tr,"Muğla, Turkey",Classical - Classical
Beethoven Symphony No. 6 and Saint-Sa??ns Piano Concerto No. 2 with Lang Lang,7/27/2025 18:30,Tanglewood: Koussevitzky Music Shed,See Website for more details,Boston Symphony Orchestra,See Website for more details,https://s1.ticketm.net/dam/c/f7b/ef64d601-8740-43cd-86ea-ed9b392e4f7b_105961_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7fw0f,"Lenox, United States Of America",Classical - Classical/Vocal
Lavinia Meijer & Reyer Zwart,7/27/2025 18:30,Openluchttheater Caprera,See Website for more details,Lavinia Meijer,See Website for more details,https://s1.ticketm.net/dam/a/f41/1d2968c4-0250-4ba5-bf32-b8ce10eccf41_RETINA_LANDSCAPE_16_9.jpg,https://www.ticketmaster.nl/event/lavinia-meijer--reyer-zwart-tickets/413365244?language=en-us,"Bloemendaal, Netherlands",Classical - Classical/Vocal
Scarborough Spa Orchestra Monday Evening Concerts,7/28/2025 18:45,Scarborough Spa Grand Hall,See Website for more details,Scarborough Spa Orchestra,See Website for more details,https://s1.ticketm.net/dam/a/375/48f2259b-f25d-4705-a725-3ba8a6ad8375_SOURCE,https://www.ticketmaster.co.uk/scarborough-spa-orchestra-monday-evening-concerts-scarborough-28-07-2025/event/35006190ED3B5F39,"Scarborough, Great Britain",Classical - Symphonic
Auckland Philharmonia: Spanish Rhythms,7/31/2025 7:30," Great Hall, Auckland Town Hall",See Website for more details,Auckland Philharmonia,"All Tickets are Mobile Ticket Only. Mobile Tickets are like Print-at-Home tickets but instead of having to print off the tickets yourself, you can just show the barcode on your mobile phone. It is the easiest way to access tickets to your events. For more information visit Ticketmaster.co.nz/mobileticket Child Policy: This performance is not suitable for children under six years old. Children under the age of 16 must be accompanied by an adult at all APO events.",https://s1.ticketm.net/dam/a/8ae/34945ea3-f098-42fc-a832-bee65f2d18ae_SOURCE,https://www.ticketmaster.co.nz/auckland-philharmonia-spanish-rhythms-auckland-31-07-2025/event/24006193D02A1248,"Auckland, New Zealand",Classical - Symphonic
Luosto soi! Darkness - opening concert,7/31/2025 14:00,Rinneravintola Ski-Knööli,See Website for more details,Luosto soi!,See Website for more details,https://s1.ticketm.net/dam/a/04a/e9641584-c993-412e-a5a0-cdbae07bc04a_CUSTOM.jpg,https://www.ticketmaster.fi/event/luosto-soi-darkness-opening-concert-tickets/604264925?language=en-us,"Luosto, Finland",Classical - Classical/Vocal
